*t,st,Value
2016,MI,0.09106339826449011
2017,MI,0.0933589670031634
2018,MI,0.09071794470610682
2019,MI,0.11729572706139937
2020,MI,0.12241935311455206
2021,MI,0.138704692693707
2022,MI,0.13482231164188127
2023,MI,0.13511346736220123
2024,MI,0.13417043084070607
2025,MI,0.12888273099640912
2026,MI,0.12330324596982495
2027,MI,0.109236077401896
2028,MI,0.09848775420451823
2029,MI,0.08918909009714776
2030,MI,0.3833777139838542
2031,MI,0.37855578533200407
2032,MI,0.3733857851224785
2033,MI,0.36783305352755
2034,MI,0.3618151698011622
2035,MI,0.8000000000000002
2036,MI,0.8
2037,MI,0.8
2038,MI,0.8
2039,MI,0.8
2040,MI,1.0
2041,MI,1.0
2042,MI,1.0
2043,MI,1.0
2044,MI,1.0
2045,MI,1.0
2046,MI,1.0
2047,MI,1.0
2048,MI,1.0
2049,MI,1.0
2050,MI,1.0
2010,MN,0.10772672177133735
2011,MN,0.10731422210986293
2012,MN,0.14776776834858904
2013,MN,0.147322963700159
2014,MN,0.14674551440498573
2015,MN,0.14721248940773335
2016,MN,0.2062775938662552
2017,MN,0.20529466328769494
2018,MN,0.20530758547043068
2019,MN,0.2046966945443656
2020,MN,0.24375674092820115
2021,MN,0.2431047539143303
2022,MN,0.24334060414181566
2023,MN,0.1998288896678912
2024,MN,0.1998288896678912
2025,MN,0.24978611208486393
2026,MN,0.24978611208486393
2027,MN,0.24978611208486393
2028,MN,0.24978611208486393
2029,MN,0.24978611208486393
2030,MN,0.7202072298321265
2031,MN,0.7202072298321263
2032,MN,0.7202072298321263
2033,MN,0.7202072298321264
2034,MN,0.7202072298321264
2035,MN,0.89923000350551
2036,MN,0.8992300035055101
2037,MN,0.8992300035055101
2038,MN,0.8992300035055102
2039,MN,0.8992300035055102
2040,MN,0.9991444483394559
2041,MN,0.9991444483394558
2042,MN,0.9991444483394559
2043,MN,0.9991444483394558
2044,MN,0.9991444483394557
2045,MN,0.9991444483394558
2046,MN,0.9991444483394558
2047,MN,0.9991444483394558
2048,MN,0.9991444483394558
2049,MN,0.9991444483394558
2050,MN,0.9991444483394557
2010,NC,0.0001996493492754867
2011,NC,0.0002077672450730856
2012,NC,0.01721786520991199
2013,NC,0.01697897750580107
2014,NC,0.016868377908641572
2015,NC,0.03425790509793866
2016,NC,0.03411703250114476
2017,NC,0.03507249706587024
2018,NC,0.05951320095922295
2019,NC,0.059553591168133864
2020,NC,0.06168533817585583
2021,NC,0.05892211335549181
2022,NC,0.056921838053229555
2023,NC,0.0596087419775176
2024,NC,0.058044050579855955
2025,NC,0.0574446445662345
2026,NC,0.057179888980311414
2027,NC,0.05654800681247871
2028,NC,0.05611934520197167
2029,NC,0.055526879531798426
2030,NC,0.49652519544153245
2031,NC,0.4998403175434841
2032,NC,0.5037166572091183
2033,NC,0.506970255755053
2034,NC,0.5109865619206636
2035,NC,0.5179930348840324
2036,NC,0.5243917752574375
2037,NC,0.5288241452785505
2038,NC,0.5330599197062302
2039,NC,0.5371629140659272
2040,NC,0.5408700228422669
2041,NC,0.5441386138615999
2042,NC,0.5470693630725092
2043,NC,0.5497397164648489
2044,NC,0.5520964370363803
2045,NC,0.5530054918394918
2046,NC,0.5535964537910006
2047,NC,0.5558261052412177
2048,NC,0.5582662011211939
2049,NC,0.5607738579109053
2050,NC,0.8056257692527128
2010,NE,0.0
2011,NE,0.0
2012,NE,0.0
2013,NE,0.0
2014,NE,0.0
2015,NE,0.0
2016,NE,0.0
2017,NE,0.0
2018,NE,0.0
2019,NE,0.0
2020,NE,0.0
2021,NE,0.0
2022,NE,0.0
2023,NE,0.0
2024,NE,0.0
2025,NE,0.0
2026,NE,0.0
2027,NE,0.0
2028,NE,0.0
2029,NE,0.0
2030,NE,0.0
2031,NE,0.0
2032,NE,0.0
2033,NE,0.0
2034,NE,0.0
2035,NE,0.0
2036,NE,0.0
2037,NE,0.0
2038,NE,0.0
2039,NE,0.0
2040,NE,0.09816369680451391
2041,NE,0.09816369680451392
2042,NE,0.09816369680451392
2043,NE,0.09816369680451392
2044,NE,0.09816369680451394
2045,NE,0.09816369680451394
2046,NE,0.09816369680451395
2047,NE,0.09816369680451394
2048,NE,0.09816369680451392
2049,NE,0.09816369680451392
2050,NE,0.9886033286282973
2010,NM,0.03978414902143466
2011,NM,0.06643895308780855
2012,NM,0.06749346637807822
2013,NM,0.06809069441840977
2014,NM,0.06766463204998359
2015,NM,0.11282388280393188
2016,NM,0.1158318891202168
2017,NM,0.11760524335866329
2018,NM,0.12076204169482434
2019,NM,0.12347984760165415
2020,NM,0.1643163673050205
2021,NM,0.16408325471096014
2022,NM,0.16315410298658548
2023,NM,0.16515093784030707
2024,NM,0.16515093784030707
2025,NM,0.3608992165391009
2026,NM,0.3608992165391009
2027,NM,0.36089921653910095
2028,NM,0.36089921653910095
2029,NM,0.36089921653910095
2030,NM,0.4511240206738761
2031,NM,0.451124020673876
2032,NM,0.45112402067387614
2033,NM,0.4511240206738761
2034,NM,0.4511240206738761
2035,NM,0.45112402067387614
2036,NM,0.4511240206738762
2037,NM,0.4511240206738762
2038,NM,0.45112402067387625
2039,NM,0.4511240206738762
2040,NM,0.6759024217904719
2041,NM,0.6759024217904718
2042,NM,0.6759024217904719
2043,NM,0.6759024217904718
2044,NM,0.6759024217904717
2045,NM,0.8257546892015357
2046,NM,0.8257546892015356
2047,NM,0.8257546892015354
2048,NM,0.8257546892015354
2049,NM,0.8257546892015355
2050,NM,0.9022480413477523
2010,NV,0.07344646978282957
2011,NV,0.09040190304967974
2012,NV,0.08934126805438979
2013,NV,0.10849287087807365
2014,NV,0.10819691470417739
2015,NV,0.12951924883911128
2016,NV,0.13112179804827503
2017,NV,0.13176637971828745
2018,NV,0.13274448324392507
2019,NV,0.1309247885803425
2020,NV,0.16779052768567568
2021,NV,0.1815519044548596
2022,NV,0.22837437432348917
2023,NV,0.22844008697201387
2024,NV,0.2710455120364355
2025,NV,0.30273993427282825
2026,NV,0.3028625256157811
2027,NV,0.3773489900956713
2028,NV,0.3775169527290864
2029,NV,0.37775197450091685
2030,NV,0.45229347028564926
2031,NV,0.4525690645226865
2032,NV,0.45289698826024255
2033,NV,0.4532498988826704
2034,NV,0.45363487040641803
2035,NV,0.45400244257234224
2036,NV,0.45431734801220064
2037,NV,0.45459443005470523
2038,NV,0.45485786132347505
2039,NV,0.455100000650002
2040,NV,0.4553341440559958
2041,NV,0.4555494400174567
2042,NV,0.455740808457068
2043,NV,0.4559101839091933
2044,NV,0.45606263394995994
2045,NV,0.45621488895291545
2046,NV,0.45635749386746227
2047,NV,0.45650003880615825
2048,NV,0.4566392747014538
2049,NV,0.45678228721344083
2050,NV,0.9286240855131822
2010,NY,0.23728483091845984
2011,NY,0.24863480096911797
2012,NY,0.26150470682674554
2013,NY,0.2624474929809603
2014,NY,0.2730789288720958
2015,NY,0.280684383069529
2016,NY,0.2830170663385254
2017,NY,0.2921815009087902
2018,NY,0.29105181855765305
2019,NY,0.30786191912377475
2020,NY,0.3416262551740166
2021,NY,0.35564245994773963
2022,NY,0.3622222222222222
2023,NY,0.40444444444444444
2024,NY,0.44666666666666666
