"OBJECTID","Country","Name of Line","Owner Name (Company)","Latitude","Longitude","City (Site Name)","County","State / Province / Territory","Zip Code / Postal Code","Address","State or Province From","Country From","State or Province To","Country To","Number of Lines","Line Voltage (kV)","Source Agency","Reference Period"
"64","United States","","Northern States Power","48.999732","-97.2778684","Red River","Rolette","North Dakota","","","North Dakota","United States","Manitoba","Canada","1","230","U.S. Department of Energy","2017"
"65","United States","Roseau County 500","Northern State Power","48.99821","-95.53819","Roseau County","Roseau","Minnesota","","","Minnesota","United States","Manitoba","Canada","1","500","U.S. Department of Energy","2017"
"66","United States","Roseau county 230","Minnkota Power Coop","48.99808","-95.5065","Roseau County","Roseau","Minnesota","","","Minnesota","United States","Manitoba","Canada","1","230","U.S. Department of Energy","2017"
"67","United States","","Minnesota Power","48.60688","-93.4033","International Falls","Koochiching","Minnesota","","","Minnesota","United States","Ontario","Canada","2","115","U.S. Department of Energy","2017"
"68","United States","","International Transmission Co","42.92391","-82.46023","Marysville","Saint Clair","Michigan","","","Michigan","United States","Ontario","Canada","1","230","U.S. Department of Energy","2017"
"69","United States","","International Transmission Co","42.78863","-82.47834","St. Claire","Saint Clair","Michigan","","","Michigan","United States","Ontario","Canada","1","230","U.S. Department of Energy","2017"
"70","United States","","International Transmission Co","42.78893","-82.47844","St. Claire","Saint Clair","Michigan","","","Michigan","United States","Ontario","Canada","1","345","U.S. Department of Energy","2017"
"71","United States","","San Diego Gas and Electric","32.55444","-116.89849","Miguel","San Diego","California","","","California","United States","Baja California","Mexico","1","230","U.S. Department of Energy","2017"
"72","United States","","Baja California Power","32.6516646","-115.6829297","Mexicali - La Rosita","Imperial","California","","","California","United States","Baja California","Mexico","1","230","U.S. Department of Energy","2017"
"73","United States","","San Diego Gas and Electric","32.65182","-115.68181","Imperial Valley","Imperial","California","","","California","United States","Baja California","Mexico","2","230(2)","U.S. Department of Energy","2017"
"74","United States","","Termoelectrica US Ltd","32.6516646","-115.6829297","Mexicali","Imperial","California","","","California","United States","Baja California","Mexico","2","230","U.S. Department of Energy","2017"
"75","United States","","El Paso Electric Co","31.78483","-106.60824","Diablo","Dona Ana","New Mexico","","","New Mexico","United States","Chihuahua","Mexico","1","115","U.S. Department of Energy","2017"
"76","United States","","El Paso Electric Co","31.74608","-106.40332","Ascarate","El Paso","Texas","","","Texas","United States","Chihuahua","Mexico","1","115","U.S. Department of Energy","2017"
"77","United States","","AEP Texas Central Co","28.71554","-100.50614","Eagle Pass","Maverick","Texas","","","Texas","United States","Coahuila","Mexico","1","138","U.S. Department of Energy","2017"
"78","United States","","AEP Texas Central Co","27.56769","-99.5063","Laredo","Webb","Texas","","","Texas","United States","Tamaulipas","Mexico","1","230(1)/138(1)","U.S. Department of Energy","2017"
"79","United States","","Frontera Generation Ltd","26.18793","-98.40099","Frontera","Hidalgo","Texas","","","Texas","United States","Tamaulipas","Mexico","2","230","U.S. Department of Energy","2017"
"80","United States","","Sharyland Utilities","26.1664","-98.32459","McAllen","Hidalgo","Texas","","","Texas","United States","Tamaulipas","Mexico","1","138","U.S. Department of Energy","2017"
"81","United States","","AEP Texas Central Company","25.92286","-97.53587","Brownsville","Cameron","Texas","","","Texas","United States","Tamaulipas","Mexico","2","138(1)/69(1)","U.S. Department of Energy","2017"
"82","United States","","Brownsville Public Utilities Board","25.91262","-97.52214","Brownsville","Cameron","Texas","","","Texas","United States","Tamaulipas","Mexico","2","138(2)","U.S. Department of Energy","2017"
