i,r,t,Value
CoalOldScr,p31,2026,5045846.19
CoalOldScr,p31,2029,4586624.837263
CoalOldScr,p33,2010,12561564.078
CoalOldScr,p33,2015,15850866.383051
CoalOldScr,p33,2020,13700794.848322
CoalOldScr,p33,2023,12412523.496078
CoalOldScr,p33,2026,10459692.3702
CoalOldScr,p33,2029,1010529.32787
CoalOldScr,p34,2010,4537839.24
CoalOldScr,p34,2015,4521118.14
CoalOldScr,p34,2020,4532294.297136
CoalOldScr,p34,2023,2230392.48
CoalOldScr,p34,2026,102492.0
CoalOldScr,p34,2029,240122.071957
CoalOldScr,p36,2010,12185812.038746
CoalOldScr,p36,2015,16573631.288428
CoalOldScr,p36,2020,12136993.989781
CoalOldScr,p36,2023,12143159.579214
CoalOldScr,p36,2026,15184867.352569
CoalOldScr,p36,2029,12173298.33994
CoalOldScr,p36,2044,208925.793187
CoalOldScr,p36,2047,292486.360779
CoalOldScr,p36,2050,291455.444501
CoalOldScr,p37,2010,7827461.1918
CoalOldScr,p37,2015,7785663.525
CoalOldScr,p37,2020,7766409.4596
CoalOldScr,p37,2023,7772008.524
CoalOldScr,p37,2026,7781496.7794
CoalOldScr,p37,2029,7724894.453394
CoalOldScr,p38,2020,250868.88
CoalOldScr,p38,2023,250868.88
CoalOldScr,p38,2026,1167901.572583
CoalOldScr,p38,2029,571637.316912
CoalOldScr,p40,2010,10559334.201
CoalOldScr,p40,2015,10138135.065
CoalOldScr,p40,2020,9952005.072
CoalOldScr,p40,2023,9903285.222
CoalOldScr,p40,2026,10112919.945
CoalOldScr,p40,2029,566342.4
CoalOldScr,p40,2041,1042113.206248
CoalOldScr,p40,2044,328788.287146
CoalOldScr,p40,2047,328788.287146
CoalOldScr,p40,2050,268716.018691
CoalOldScr,p41,2010,5018325.9444
CoalOldScr,p41,2015,4962357.72
CoalOldScr,p41,2020,4932725.9328
CoalOldScr,p41,2023,4927171.9587
CoalOldScr,p41,2026,4948166.205
CoalOldScr,p41,2029,504958.296
CoalOldScr,p41,2041,0.0
CoalOldScr,p41,2047,0.0
CoalOldScr,p41,2050,0.0
CoalOldScr,p43,2010,17762684.820096
CoalOldScr,p43,2015,17609675.861616
CoalOldScr,p43,2020,15842273.616
CoalOldScr,p43,2023,11912645.92032
CoalOldScr,p43,2026,11548844.384873
CoalOldScr,p43,2029,9265749.53395
CoalOldScr,p43,2044,78174.401966
CoalOldScr,p43,2047,107789.783769
CoalOldScr,p43,2050,65588.960111
CoalOldScr,p45,2010,4840837.7238
CoalOldScr,p45,2015,12646692.708382
CoalOldScr,p45,2020,5479915.62528
CoalOldScr,p45,2023,4937036.364
CoalOldScr,p45,2026,10889196.238209
CoalOldScr,p45,2029,7515593.488529
CoalOldScr,p46,2020,204878.88
CoalOldScr,p46,2023,204878.88
CoalOldScr,p46,2026,204878.88
CoalOldScr,p46,2029,204878.88
CoalOldScr,p48,2010,7297162.851
CoalOldScr,p48,2015,5054932.166352
CoalOldScr,p48,2020,560815.2
CoalOldScr,p48,2023,560815.2
CoalOldScr,p48,2026,560815.2
CoalOldScr,p5,2010,4037058.09
CoalOldScr,p5,2015,3983928.975
CoalOldScr,p50,2010,5204235.48
CoalOldScr,p50,2015,3428442.214559
CoalOldScr,p50,2020,945554.4
CoalOldScr,p50,2023,945554.4
CoalOldScr,p50,2026,4454661.420604
CoalOldScr,p51,2010,7255880.859
CoalOldScr,p51,2015,7127958.27791
CoalOldScr,p51,2020,3454110.118574
CoalOldScr,p51,2023,767323.44
CoalOldScr,p51,2026,4466869.53259
CoalOldScr,p51,2029,19727.64846
CoalOldScr,p51,2041,241692.495851
CoalOldScr,p51,2044,120550.947242
CoalOldScr,p51,2047,120550.947242
CoalOldScr,p51,2050,108289.409229
CoalOldScr,p52,2010,2457772.323
CoalOldScr,p52,2015,2430244.3341
CoalOldScr,p52,2020,2419129.002484
CoalOldScr,p52,2023,2310554.0553
CoalOldScr,p52,2026,2288755.1871
CoalOldScr,p52,2029,2072783.1642
CoalOldScr,p52,2044,48955.985083
CoalOldScr,p52,2047,48955.985083
CoalOldScr,p52,2050,36998.871314
CoalOldScr,p53,2010,5011437.3846
CoalOldScr,p53,2015,27015598.550423
CoalOldScr,p53,2020,5720172.164473
CoalOldScr,p53,2023,4843752.359174
CoalOldScr,p53,2026,17680096.43321
CoalOldScr,p53,2029,12567898.52138
CoalOldScr,p54,2010,4829044.432905
CoalOldScr,p54,2015,4765886.645295
CoalOldScr,p54,2020,369234.0
CoalOldScr,p54,2023,369234.0
CoalOldScr,p54,2026,3531243.273772
CoalOldScr,p54,2029,2179475.445474
CoalOldScr,p55,2010,2619918.732
CoalOldScr,p55,2015,2592963.666
CoalOldScr,p55,2020,1145566.905782
CoalOldScr,p55,2023,1235437.824
CoalOldScr,p55,2026,1248781.872
CoalOldScr,p55,2029,1211918.76
CoalOldScr,p56,2020,259646.4
CoalOldScr,p56,2023,259646.4
CoalOldScr,p56,2026,2279677.298986
CoalOldScr,p56,2029,189939.473197
CoalOldScr,p57,2010,11280109.6998
CoalOldScr,p57,2015,11034693.8244
CoalOldScr,p57,2020,2581962.295127
CoalOldScr,p57,2023,525600.0
CoalOldScr,p57,2026,6715362.0
CoalOldScr,p58,2010,11338348.684808
CoalOldScr,p58,2015,11129641.919397
