,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
p19115,0.46006582901078596,0.02121253257402461,0.0017862270774088296,0.0016966083529365928,4.967337136594113e-05,9.186998938776607e-07,0.002901378729753443,0.5000060800048326,0.012280752178998178
p20049,0.022299407297868112,0.012573995924162194,8.463611502331925e-05,0.021980604866744163,2.0601164325764448e-06,1.569038691101566e-05,0.0009906775198370375,0.5540091266708449,0.38804380110217673
p39121,0.36825739682091946,0.1210119203358714,0.2225687670206578,6.195751124839127e-06,0.005275022682117382,3.612203777204492e-09,0.2779250214650664,0.0033565614072808493,0.0015991109047581967
p39137,0.6341503545102244,0.14018230903124465,0.09438934768241661,5.0347711732532994e-05,0.002632086122271542,3.4073314120010134e-08,0.09853351110766856,0.025094236392983645,0.004967773368143882
p48425,0.0019979772734293575,0.02138713518323597,1.0279297644692985e-05,0.018225384783625766,2.421379714077077e-07,5.193879553889733e-05,0.0018413837212560703,0.022611293204346183,0.9338743656029516
p42075,0.05830632394973683,0.013333755058631994,0.5119845469145532,7.149422087527039e-07,0.10780260559675554,5.284739424695203e-10,0.30806563890477007,0.00034420564720467965,0.00016220845766491668
p30035,4.4161980768892816e-05,2.1780723003902966e-07,4.574744048528187e-08,0.8343871276036282,4.393043245664458e-09,0.12836649589213747,2.851225173337782e-08,0.03717948848017626,2.2429583323650316e-05
p32027,9.09972777878762e-07,7.765796795838712e-08,1.7212966143578383e-09,0.6996368761584439,6.056710769514084e-11,0.2998772197618671,5.941514057342487e-09,0.00038289164922329286,0.00010201707634212042
p27087,0.1431760918889819,0.0001812968558941116,0.0001424792721690647,0.019745674201416683,1.3844685605168378e-05,3.8061099915581966e-05,7.909663638595298e-05,0.8363754699758951,0.0002479853837365529
p34031,0.017960155563167775,0.0035244608497796105,0.4756229212863614,2.6402462768773083e-07,0.34931747996256274,2.094808658065455e-10,0.15341531559749122,0.00011647455802924488,4.2927948499399246e-05
p30047,2.675372292115747e-05,1.891585478593445e-07,2.841916395590316e-08,0.7843672214483851,2.30894856345896e-09,0.19455516311748636,1.9028998687376773e-08,0.021019510954714014,3.111184083427709e-05
p48261,9.44027565533777e-05,0.007256971923855113,7.191651788832101e-07,0.0026104539107360348,2.0210749777975963e-08,1.1657671513121398e-05,0.0009769388851228293,0.00048348834521711603,0.9885653471310737
p48033,0.0003982034918938748,0.002063705572727409,1.8399453960893659e-06,0.13497560667473554,4.2459097275144986e-08,0.0004257890026411135,0.00017889232600758987,0.030238196212948654,0.8317177243145525
p29157,0.3139708202700275,0.19221220334939826,0.0016779584325701002,0.0004009095423006976,3.894393656717385e-05,2.762517220223658e-07,0.014184182792864111,0.34641001649383885,0.13110468893071123
p48411,0.0007362060447028808,0.01214684274352662,3.85797427699934e-06,0.02350520772918247,9.173793749105783e-08,7.624588831092841e-05,0.0010364850395344115,0.010101198465727315,0.9523938643768008
p40073,0.006454241530473961,0.009192817089663139,2.696839187664827e-05,0.05540403957326612,6.346560254299022e-07,5.3112546045976016e-05,0.0005306352431185643,0.283068549193681,0.6452690017758491
p48051,0.0012406606930540312,0.042584158488972415,7.623819773839283e-06,0.005569163547454535,1.9206839712641303e-07,1.788017469060326e-05,0.003787415136042902,0.007576512902537213,0.9392163931690772
p36035,0.022906214279376703,0.002146002565092544,0.5996845484101518,5.486279475101002e-07,0.33241895866788446,4.915711412946723e-10,0.042636208271064395,0.00017789929788643064,2.9619389024904032e-05
p28133,0.03120595337683269,0.48839613690264805,0.0002914479054772981,0.0004084424841354105,7.654047147019366e-06,5.121075179873132e-07,0.03257237165273761,0.07500645891522156,0.37211102260828244
p27053,0.41125548774230963,0.00107188439260981,0.0005370544901536592,0.008210129874360305,2.8173849144696753e-05,7.238643091516836e-06,0.0003451579239673694,0.5775115579665561,0.0010333151178068618
p42027,0.13449449884797882,0.022588149391296372,0.5594884116088144,1.7779991423466663e-06,0.06413000628867939,1.3304014854944546e-09,0.218174724326289,0.0008364201136285671,0.0002860100937695895
p48025,0.00023626330864432048,0.0131835073421754,1.5819840220922945e-06,0.005556188564097853,4.1732246730969904e-08,2.01651032989497e-05,0.0013998287507187956,0.0014159763776143944,0.9781864468371815
p47077,0.13482525629101907,0.40747867735790755,0.0018192646369184805,0.00016818343282278534,4.534694231906821e-05,1.43951379303417e-07,0.07613283565837302,0.18601494767309534,0.19351534405616536
p19171,0.2752109632279108,0.011485991405113955,0.0013678112520421947,0.004568100094298513,3.686940383135452e-05,3.0362374515721456e-06,0.001665319702615285,0.6946909612882404,0.010970947388495945
p20175,0.0016140020520287169,0.0009250705407129876,5.1493008583446995e-06,0.2159931876888886,1.2992145536249789e-07,0.00015489197339128572,6.219323993337072e-05,0.4203077628778647,0.3609376124048667
p19135,0.28125832877880624,0.017788342660554526,0.0010110054798874253,0.005267848122606166,2.816040498669832e-05,2.5234142774796225e-06,0.001838422999231248,0.6683016442080351,0.02450372393161508
p31147,0.08503301652083331,0.010865044663816525,0.00024723955861370993,0.027314295615114892,6.864988285475965e-06,1.0709497634375358e-05,0.0008064812891523353,0.8063740647060695,0.06934228316048
p17021,0.543916184851809,0.12389508944924305,0.004852344412814948,0.0005633150583236083,0.0001256027312480903,2.758906550709163e-07,0.012866394614173925,0.26663229708515107,0.04714849590658112
p12089,0.0019816564346993664,0.11790314280517004,0.000687989071002815,2.2688036548246354e-06,7.717543406643883e-05,3.0606090177757027e-09,0.8693147592703221,0.0016223543478639901,0.00841065077261149
p12133,0.0027324456324141636,0.4005589083220102,0.00024433493803295494,1.1043768531766664e-05,1.3437684002539545e-05,1.836299998868342e-08,0.539059878616074,0.004362732915046911,0.05301719976088748
p13007,0.003695090872637074,0.3910738561310783,0.0005635568029689685,8.202260650065197e-06,3.481942781718567e-05,1.1344410034903194e-08,0.5761779263111844,0.004873943669665545,0.02357259317958844
p13275,0.0025935650781432336,0.3292749094875705,0.00048827149427804935,5.8168184808246264e-06,3.472663004689129e-05,8.399175768548498e-09,0.6428660233270771,0.003368780201781655,0.021367898563445932
p21005,0.30391045431450375,0.47396767903588033,0.029009596910002804,4.037155808871642e-05,0.0006827278642373093,2.5845934670233773e-08,0.12888417991701925,0.04175077061109071,0.021754193943242538
p21185,0.39881146734496514,0.4245358603610157,0.0238160346209452,4.887900693461451e-05,0.000549725362425798,2.950213479118072e-08,0.08966940155405809,0.04184850783103876,0.020720094416481774
p13057,0.02811198351652207,0.3342643272075933,0.004677807043672156,2.0634251306295827e-05,0.00019669071042108715,1.942683574097522e-08,0.5876833512320071,0.02223765589763273,0.02280753071400946
p38065,0.012062099077710574,3.807970405795161e-05,1.2541425217569723e-05,0.15369415510451226,9.942453181786346e-07,0.0005133210230785966,7.766285821646261e-06,0.8333800297805241,0.0002910133537592354
p26133,0.8594933345734562,0.018761192989116528,0.04620472761276355,0.00020320009310287497,0.0021911878191402997,1.715577326484399e-07,0.023520318220680157,0.04825297065638042,0.0013728964776273808
