# https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population
city,state,pop_2023,pop_2020,change,mile2,km2,permile2,perkm2,latitude,longitude
Spokane Valley,WA,108235,102976,5.11%,37.7,97.6,2731,1054,47.66,-117.23
Davie,FL,107799,105691,1.99%,34.9,90.4,3028,1169,26.08,-80.28
Hillsboro,OR,107730,106447,1.21%,25.7,66.6,4142,1599,45.53,-122.94
Jurupa Valley,CA,107321,105053,2.16%,42.9,111.1,2449,946,34.00,-117.47
Centennial,CO,106883,108418,-1.42%,29.7,76.9,3650,1410,39.59,-104.87
Edison,NJ,106836,107588,-0.70%,30.1,78.0,3574,1380,40.50,-74.35
Boulder,CO,105898,108250,-2.17%,26.3,68.1,4116,1589,40.02,-105.25
Dearborn,MI,105811,109976,-3.79%,24.2,62.7,4544,1754,42.31,-83.21
Edinburg,TX,105799,100243,5.54%,44.7,115.8,2243,866,26.32,-98.16
Sandy Springs,GA,105793,108080,-2.12%,37.7,97.6,2867,1107,33.93,-84.37
Green Bay,WI,105744,107395,-1.54%,45.5,117.8,2360,910,44.52,-87.99
West Covina,CA,105617,109501,-3.55%,16.0,41.4,6844,2642,34.06,-117.91
Brockton,MA,104890,105643,-0.71%,21.3,55.2,4960,1920,42.08,-71.02
St. George,UT,104578,95342,9.69%,78.5,203.3,1215,469,37.08,-113.56
Bend,OR,104557,99178,5.42%,33.6,87.0,2952,1140,44.06,-121.31
Renton,WA,104491,106785,-2.15%,23.5,60.9,4544,1754,47.48,-122.19
Lee's Summit,MO,104184,101108,3.04%,63.9,165.5,1582,611,38.92,-94.38
Fishers,IN,104094,98977,5.17%,35.6,92.2,2780,1070,39.96,-85.97
El Monte,CA,103794,109450,-5.17%,9.6,24.9,11401,4402,34.07,-118.03
South Bend,IN,103395,103453,-0.06%,42.0,108.8,2463,951,41.68,-86.27
Rialto,CA,103391,104026,-0.61%,24.1,62.4,4316,1666,34.12,-117.39
Woodbridge,NJ,103194,103639,-0.43%,23.3,60.3,4448,1717,40.56,-74.29
El Cajon,CA,102991,106215,-3.04%,14.5,37.6,7325,2828,32.80,-116.96
Inglewood,CA,102865,107762,-4.54%,9.1,23.6,11842,4572,33.96,-118.34
Burbank,CA,102755,107337,-4.27%,17.3,44.8,6204,2395,34.19,-118.33
Wichita Falls,TX,102691,102316,0.37%,72.0,186.5,1421,549,33.91,-98.53
Vacaville,CA,102526,102386,0.14%,29.9,77.4,3424,1322,38.36,-121.97
Carmel,IN,102296,99757,2.55%,49.1,127.2,2032,785,39.97,-86.15
Palm Coast,FL,102113,89258,14.40%,95.4,247.1,937,362,29.54,-81.24
Fayetteville,AR,101680,93949,8.23%,54.1,140.1,1737,671,36.07,-94.17
Quincy,MA,101597,101636,-0.04%,16.6,43.0,6123,2364,42.26,-71.01
San Mateo,CA,101327,105661,-4.10%,12.1,31.3,8732,3371,37.56,-122.31
Chico,CA,101301,101475,-0.17%,34.1,88.3,2976,1149,39.76,-121.82
Lynn,MA,101241,101253,-0.01%,10.7,27.7,9463,3654,42.47,-70.96
Albany,NY,101228,99224,2.02%,21.4,55.4,4637,1790,42.67,-73.80
Yuma,AZ,100858,95548,5.56%,120.7,312.6,792,306,32.52,-114.52
New Bedford,MA,100695,101079,-0.38%,20.0,51.8,5054,1951,41.66,-70.94
Suffolk,VA,100659,94324,6.72%,399.2,1033.9,236,91,36.70,-76.63
Hesperia,CA,100633,99818,0.82%,72.7,188.3,1373,530,34.40,-117.32
Davenport,IA,100354,101724,-1.35%,63.8,165.2,1594,615,41.56,-90.60
